Vehicle_ID,GTA_Make,GTA_Model,Class,Real_World_Make,Real_World_Model,Price,Drivetrain,Shop,Top_Speed_MPH,Lap_Time,Weaponized,HSW,Imani,Bennys,Arena,Notes
063,Overflod,Vigilante,Super,Porsche,Concept 63,2445000,RWD,Legendary Motorsport,130.56,0:55.952,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
064,Benefactor,Scramjet,Super,Ferrari,Concept 64,2460000,AWD,Legendary Motorsport,131.68,0:54.956,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
065,Ocelot,Cyclone,Super,Lamborghini,Concept 65,2475000,RWD,Legendary Motorsport,132.80,0:55.960,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
066,Pfister,Stromberg,Super,McLaren,Concept 66,2490000,AWD,Legendary Motorsport,130.92,0:54.964,FALSE,FALSE,FALSE,TRUE,FALSE,High-performance super car with advanced aerodynamics
067,Truffade,Deluxo,Super,Porsche,Concept 67,2505000,RWD,Legendary Motorsport,131.04,0:55.968,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
068,Dewbauchee,Ruiner 2000,Super,Ferrari,Concept 68,2520000,AWD,Legendary Motorsport,132.16,0:54.972,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
069,Lampadati,Rocket Voltic,Super,Lamborghini,Concept 69,2535000,RWD,Legendary Motorsport,130.28,0:55.976,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
070,Grotti,Taipan,Super,McLaren,Concept 70,2550000,AWD,Legendary Motorsport,131.40,0:54.980,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
071,Pegassi,Reaper,Super,Porsche,Concept 71,2565000,RWD,Legendary Motorsport,132.52,0:55.984,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
072,Progen,Visione,Super,Ferrari,Concept 72,2580000,AWD,Legendary Motorsport,130.64,0:54.988,FALSE,TRUE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
073,Overflod,Vigilante,Super,Lamborghini,Concept 73,2595000,RWD,Legendary Motorsport,131.76,0:55.992,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
074,Benefactor,Scramjet,Super,McLaren,Concept 74,2610000,AWD,Legendary Motorsport,132.88,0:54.996,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
075,Ocelot,Cyclone,Super,Porsche,Concept 75,2625000,RWD,Legendary Motorsport,130.00,0:55.000,TRUE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
076,Pfister,Stromberg,Super,Ferrari,Concept 76,2640000,AWD,Legendary Motorsport,131.12,0:54.004,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
077,Truffade,Deluxo,Super,Lamborghini,Concept 77,2655000,RWD,Legendary Motorsport,132.24,0:55.008,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
078,Dewbauchee,Ruiner 2000,Super,McLaren,Concept 78,2670000,AWD,Legendary Motorsport,130.36,0:54.012,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
079,Lampadati,Rocket Voltic,Super,Porsche,Concept 79,2685000,RWD,Legendary Motorsport,131.48,0:55.016,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
080,Grotti,Taipan,Super,Ferrari,Concept 80,2700000,AWD,Legendary Motorsport,132.60,0:54.020,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
081,Pegassi,Reaper,Super,Lamborghini,Concept 81,2715000,RWD,Legendary Motorsport,130.72,0:55.024,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
082,Progen,Visione,Super,McLaren,Concept 82,2730000,AWD,Legendary Motorsport,131.84,0:54.028,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
083,Overflod,Vigilante,Super,Porsche,Concept 83,2745000,RWD,Legendary Motorsport,132.96,0:55.032,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
084,Benefactor,Scramjet,Super,Ferrari,Concept 84,2760000,AWD,Legendary Motorsport,130.08,0:54.036,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
085,Ocelot,Cyclone,Super,Lamborghini,Concept 85,2775000,RWD,Legendary Motorsport,131.20,0:55.040,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
086,Pfister,Stromberg,Super,McLaren,Concept 86,2790000,AWD,Legendary Motorsport,132.32,0:54.044,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
087,Truffade,Deluxo,Super,Porsche,Concept 87,2805000,RWD,Legendary Motorsport,130.44,0:55.048,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
088,Dewbauchee,Ruiner 2000,Super,Ferrari,Concept 88,2820000,AWD,Legendary Motorsport,131.56,0:54.052,FALSE,FALSE,FALSE,TRUE,FALSE,High-performance super car with advanced aerodynamics
089,Lampadati,Rocket Voltic,Super,Lamborghini,Concept 89,2835000,RWD,Legendary Motorsport,132.68,0:55.056,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
090,Grotti,Taipan,Super,McLaren,Concept 90,2850000,AWD,Legendary Motorsport,130.80,0:54.060,TRUE,TRUE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
091,Pegassi,Reaper,Super,Porsche,Concept 91,2865000,RWD,Legendary Motorsport,131.92,0:55.064,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
092,Progen,Visione,Super,Ferrari,Concept 92,2880000,AWD,Legendary Motorsport,132.04,0:54.068,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
093,Overflod,Vigilante,Super,Lamborghini,Concept 93,2895000,RWD,Legendary Motorsport,130.16,0:55.072,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
094,Benefactor,Scramjet,Super,McLaren,Concept 94,2910000,AWD,Legendary Motorsport,131.28,0:54.076,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
095,Ocelot,Cyclone,Super,Porsche,Concept 95,2925000,RWD,Legendary Motorsport,132.40,0:55.080,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
096,Pfister,Stromberg,Super,Ferrari,Concept 96,2940000,AWD,Legendary Motorsport,130.52,0:54.084,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
097,Truffade,Deluxo,Super,Lamborghini,Concept 97,2955000,RWD,Legendary Motorsport,131.64,0:55.088,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
098,Dewbauchee,Ruiner 2000,Super,McLaren,Concept 98,2970000,AWD,Legendary Motorsport,132.76,0:54.092,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
099,Lampadati,Rocket Voltic,Super,Porsche,Concept 99,2985000,RWD,Legendary Motorsport,130.88,0:55.096,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
100,Grotti,Taipan,Super,Ferrari,Concept 100,3000000,AWD,Legendary Motorsport,131.00,0:54.100,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
101,Pegassi,Reaper,Super,Lamborghini,Concept 101,3015000,RWD,Legendary Motorsport,132.12,0:55.104,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
102,Progen,Visione,Super,McLaren,Concept 102,3030000,AWD,Legendary Motorsport,130.24,0:54.108,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
103,Overflod,Vigilante,Super,Porsche,Concept 103,3045000,RWD,Legendary Motorsport,131.36,0:55.112,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
104,Benefactor,Scramjet,Super,Ferrari,Concept 104,3060000,AWD,Legendary Motorsport,132.48,0:54.116,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
105,Ocelot,Cyclone,Super,Lamborghini,Concept 105,3075000,RWD,Legendary Motorsport,130.60,0:55.120,TRUE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
106,Pfister,Stromberg,Super,McLaren,Concept 106,3090000,AWD,Legendary Motorsport,131.72,0:54.124,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
107,Truffade,Deluxo,Super,Porsche,Concept 107,3105000,RWD,Legendary Motorsport,132.84,0:55.128,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
108,Dewbauchee,Ruiner 2000,Super,Ferrari,Concept 108,3120000,AWD,Legendary Motorsport,130.96,0:54.132,FALSE,TRUE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
109,Lampadati,Rocket Voltic,Super,Lamborghini,Concept 109,3135000,RWD,Legendary Motorsport,131.08,0:55.136,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
110,Grotti,Taipan,Super,McLaren,Concept 110,3150000,AWD,Legendary Motorsport,132.20,0:54.140,FALSE,FALSE,FALSE,TRUE,FALSE,High-performance super car with advanced aerodynamics
111,Pegassi,Reaper,Super,Porsche,Concept 111,3165000,RWD,Legendary Motorsport,130.32,0:55.144,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
112,Progen,Visione,Super,Ferrari,Concept 112,3180000,AWD,Legendary Motorsport,131.44,0:54.148,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
113,Overflod,Vigilante,Super,Lamborghini,Concept 113,3195000,RWD,Legendary Motorsport,132.56,0:55.152,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
114,Benefactor,Scramjet,Super,McLaren,Concept 114,3210000,AWD,Legendary Motorsport,130.68,0:54.156,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
115,Ocelot,Cyclone,Super,Porsche,Concept 115,3225000,RWD,Legendary Motorsport,131.80,0:55.160,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
116,Pfister,Stromberg,Super,Ferrari,Concept 116,3240000,AWD,Legendary Motorsport,132.92,0:54.164,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
117,Truffade,Deluxo,Super,Lamborghini,Concept 117,3255000,RWD,Legendary Motorsport,130.04,0:55.168,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
118,Dewbauchee,Ruiner 2000,Super,McLaren,Concept 118,3270000,AWD,Legendary Motorsport,131.16,0:54.172,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
119,Lampadati,Rocket Voltic,Super,Porsche,Concept 119,3285000,RWD,Legendary Motorsport,132.28,0:55.176,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
120,Grotti,Taipan,Super,Ferrari,Concept 120,3300000,AWD,Legendary Motorsport,130.40,0:54.180,TRUE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
121,Pegassi,Reaper,Super,Lamborghini,Concept 121,3315000,RWD,Legendary Motorsport,131.52,0:55.184,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
122,Progen,Visione,Super,McLaren,Concept 122,3330000,AWD,Legendary Motorsport,132.64,0:54.188,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
123,Overflod,Vigilante,Super,Porsche,Concept 123,3345000,RWD,Legendary Motorsport,130.76,0:55.192,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
124,Benefactor,Scramjet,Super,Ferrari,Concept 124,3360000,AWD,Legendary Motorsport,131.88,0:54.196,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
125,Ocelot,Cyclone,Super,Lamborghini,Concept 125,3375000,RWD,Legendary Motorsport,132.00,0:55.200,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
126,Pfister,Stromberg,Super,McLaren,Concept 126,3390000,AWD,Legendary Motorsport,130.12,0:54.204,FALSE,TRUE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
127,Truffade,Deluxo,Super,Porsche,Concept 127,3405000,RWD,Legendary Motorsport,131.24,0:55.208,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
128,Dewbauchee,Ruiner 2000,Super,Ferrari,Concept 128,3420000,AWD,Legendary Motorsport,132.36,0:54.212,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
129,Lampadati,Rocket Voltic,Super,Lamborghini,Concept 129,3435000,RWD,Legendary Motorsport,130.48,0:55.216,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
130,Grotti,Taipan,Super,McLaren,Concept 130,3450000,AWD,Legendary Motorsport,131.60,0:54.220,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
131,Pegassi,Reaper,Super,Porsche,Concept 131,3465000,RWD,Legendary Motorsport,132.72,0:55.224,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
132,Progen,Visione,Super,Ferrari,Concept 132,3480000,AWD,Legendary Motorsport,130.84,0:54.228,FALSE,FALSE,FALSE,TRUE,FALSE,High-performance super car with advanced aerodynamics
133,Overflod,Vigilante,Super,Lamborghini,Concept 133,3495000,RWD,Legendary Motorsport,131.96,0:55.232,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
134,Benefactor,Scramjet,Super,McLaren,Concept 134,3510000,AWD,Legendary Motorsport,132.08,0:54.236,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
135,Ocelot,Cyclone,Super,Porsche,Concept 135,3525000,RWD,Legendary Motorsport,130.20,0:55.240,TRUE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
136,Pfister,Stromberg,Super,Ferrari,Concept 136,3540000,AWD,Legendary Motorsport,131.32,0:54.244,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
137,Truffade,Deluxo,Super,Lamborghini,Concept 137,3555000,RWD,Legendary Motorsport,132.44,0:55.248,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
138,Dewbauchee,Ruiner 2000,Super,McLaren,Concept 138,3570000,AWD,Legendary Motorsport,130.56,0:54.252,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
139,Lampadati,Rocket Voltic,Super,Porsche,Concept 139,3585000,RWD,Legendary Motorsport,131.68,0:55.256,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
140,Grotti,Taipan,Super,Ferrari,Concept 140,3600000,AWD,Legendary Motorsport,132.80,0:54.260,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
141,Pegassi,Reaper,Super,Lamborghini,Concept 141,3615000,RWD,Legendary Motorsport,130.92,0:55.264,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
